n_trig,n_trig_UD,n_trig_LD,trig_E_tot,trig_E_max,trig_E_mean,trig_t_span,E_UD,E_LD,frac_E_UD,E_UD_max,E_LD_max,det_first,det_last,det_mismatch,both_dets,dt_firstUD_firstLD,n_unique_pix,pix_spread_max,pix_spread_rms,Ew_mean_t,earliest_E,event_class,event_id
3,2,1,389.11618995666504,314.0538635253906,129.70539665222168,25845.287923240307,75.06232643127441,314.0538635253906,0.19290466027546666,54.630470275878906,314.0538635253906,0,1,1,1,-15215.875290620314,3,10.400002136751919,7.353912035251865,4427.543374821722,314.0538635253906,CLEAN,14516
2,1,1,575.3937072753906,340.4088134765625,287.6968536376953,30772.557444747647,234.98489379882812,340.4088134765625,0.4083897526643638,234.98489379882812,340.4088134765625,0,1,1,1,-30772.557444747647,2,16.23697382180559,16.23697382180559,12567.197123710419,340.4088134765625,MISSED_PROTON,9035
2,1,1,375.4856491088867,271.5804443359375,187.74282455444336,6932.624722229328,271.5804443359375,103.90520477294922,0.7232778269434796,271.5804443359375,103.90520477294922,1,0,1,1,6932.624722229328,2,4.503349074855292,4.50334907485529,1918.410978120655,271.5804443359375,MISSED_PROTON,11358
2,1,1,319.5486068725586,252.76577758789062,159.7743034362793,35445.27533435633,66.78282928466797,252.76577758789062,0.20899114516027947,66.78282928466797,252.76577758789062,0,1,1,1,-35445.27533435633,2,15.6,15.6,7407.748682648537,252.76577758789062,MISSED_PROTON,15543
3,1,2,543.9414443969727,313.1030578613281,181.31381479899088,32411.582099244788,39.269813537597656,504.671630859375,0.07219492822638873,39.269813537597656,313.1030578613281,0,1,1,1,-32411.582099244788,3,6.004432099707681,4.245774654877482,2344.590876256094,313.1030578613281,BS_SAME_DET,7578
3,1,2,367.2010803222656,188.04324340820312,122.40036010742188,4417.520646350766,46.24458312988281,320.9564971923828,0.1259380366999392,46.24458312988281,188.04324340820312,0,0,0,1,-4406.400715255134,3,24.017795065418568,16.983145759906268,-1589.260108166442,132.9132537841797,MISSED_PROTON,5873
3,1,2,376.2333297729492,247.29664611816406,125.4111099243164,38223.0434659221,17.34764862060547,358.88568115234375,0.04610875020316381,17.34764862060547,247.29664611816406,0,1,1,1,-38223.0434659221,3,6.0044,4.245751956956506,1762.4176543233134,111.58903503417969,CLEAN,17338
2,1,1,348.59847259521484,312.1923828125,174.29923629760742,42378.44517937354,36.406089782714844,312.1923828125,0.1044355975276714,36.406089782714844,312.1923828125,0,1,1,1,-42378.44517937354,2,4.50334907485529,4.50334907485529,4425.818244601541,312.1923828125,CLEAN,13377
2,1,1,224.74074745178223,203.12393188476562,112.37037372589111,19763.333392688088,21.6168155670166,203.12393188476562,0.09618556408714649,21.6168155670166,203.12393188476562,1,0,1,1,19763.333392688088,2,28.123307060159195,28.123307060159195,17862.386022070044,21.6168155670166,MISSED_ELECTRON,527
2,1,1,80.83360290527344,47.788063049316406,40.41680145263672,25007.529033872703,33.04553985595703,47.788063049316406,0.4088094389988053,33.04553985595703,47.788063049316406,0,1,1,1,-25007.529033872703,2,0.0,0.0,10223.313915083834,47.788063049316406,CLEAN,722
2,1,1,453.5126209259033,434.61810302734375,226.75631046295166,25774.88752593748,18.89451789855957,434.61810302734375,0.041662606566458996,18.89451789855957,434.61810302734375,0,1,1,1,-25774.88752593748,2,0.0,0.0,1073.848998287865,434.61810302734375,CLEAN,17719
4,2,2,1705.8715629577637,1156.619873046875,426.4678907394409,9685.108160386111,258.5467948913574,1447.3247680664062,0.15156287290648673,232.9224853515625,1156.619873046875,0,0,0,1,-101.96185382701702,4,33.99941506849787,23.400001602564046,7155.1126250436455,290.70489501953125,BS_CROSS_DET,14435
2,1,1,528.5798263549805,439.7552185058594,264.28991317749023,21046.789195906407,88.8246078491211,439.7552185058594,0.1680438855596218,88.8246078491211,439.7552185058594,0,1,1,1,-21046.789195906407,2,4.503349074855292,4.503349074855291,3536.7842350343803,439.7552185058594,MISSED_PROTON,1649
3,1,2,518.0645751953125,322.5126953125,172.68819173177084,34023.72776309792,17.839019775390625,500.2255554199219,0.03443396948858207,17.839019775390625,322.5126953125,0,1,1,1,-34023.72776309792,3,28.952369693860987,20.79999536682641,11833.397852728292,322.5126953125,CLEAN,9462
3,2,1,318.1640434265137,153.1096954345703,106.05468114217122,27119.537069732716,165.05434799194336,153.1096954345703,0.5187712169306333,138.4766387939453,153.1096954345703,0,1,1,1,-17301.56234550067,3,35.39566584090644,26.852688443472882,13248.69456132536,153.1096954345703,MISSED_PROTON,14378
4,1,3,2282.4801330566406,1878.94091796875,570.6200332641602,30663.143824279567,252.5855712890625,2029.8945617675781,0.11066276881490582,252.5855712890625,1878.94091796875,0,0,0,1,-971.7824245117918,4,50.298422555340885,29.956476347642674,-11589.43275491509,1878.94091796875,MISSED_PROTON,18186
3,1,2,344.8462619781494,245.67095947265625,114.94875399271648,35396.44231484072,21.905412673950195,322.9408493041992,0.06352225640577827,21.905412673950195,245.67095947265625,0,1,1,1,-35396.44231484072,3,7.943135481939386,6.713181255477084,972.2907048831481,245.67095947265625,CLEAN,7599
2,1,1,448.7076759338379,427.0269775390625,224.35383796691895,22537.129536756885,21.68069839477539,427.0269775390625,0.048318091170725185,21.68069839477539,427.0269775390625,0,1,1,1,-22537.129536756885,2,4.503324074780764,4.503324074780762,1088.9510796834627,427.0269775390625,CLEAN,9244
3,1,2,402.3690376281738,267.2737731933594,134.1230125427246,33032.64487105755,267.2737731933594,135.09526443481445,0.6642503478121621,267.2737731933594,71.38319396972656,1,0,1,1,52.26406236121893,3,41.27373135542751,29.415651478875436,5868.507084210114,267.2737731933594,MISSED_PROTON,11850
3,2,1,444.8331413269043,393.6175842285156,148.27771377563477,66247.89289854582,402.22399139404297,42.60914993286133,0.9042131847331307,393.6175842285156,42.60914993286133,0,1,1,1,-12402.148468422467,3,16.715677097862354,12.378490713599403,12255.966458039693,42.60914993286133,CLEAN,6841
3,1,2,406.0352478027344,177.78787231445312,135.34508260091147,32522.78929081681,84.0198974609375,322.0153503417969,0.2069275953642261,84.0198974609375,177.78787231445312,0,0,0,1,-29503.31401840206,3,39.715655238051625,31.055214956196256,20345.580766778818,144.22747802734375,MISSED_PROTON,18384
2,1,1,510.64495849609375,412.5394287109375,255.32247924804688,32580.972440933336,412.5394287109375,98.10552978515625,0.8078791768079177,412.5394287109375,98.10552978515625,0,1,1,1,-32580.972440933336,2,15.600003205127877,15.600003205127877,26321.489195182676,98.10552978515625,MISSED_PROTON,4362
3,1,2,528.0240669250488,424.45172119140625,176.0080223083496,36278.34118466479,21.631092071533203,506.3929748535156,0.040966110119756455,21.631092071533203,424.45172119140625,0,1,1,1,-36278.34118466479,3,15.011113582535366,11.233286131354834,5616.275678787668,424.45172119140625,CLEAN,11197
3,1,2,849.4150676727295,459.7550354003906,283.13835589090985,40139.80952460688,26.805540084838867,822.6095275878906,0.03155764608494884,26.805540084838867,459.7550354003906,0,0,0,1,-16870.87540670667,3,23.829397343990422,17.24644589905088,17679.393385002848,459.7550354003906,BREMS_LOSS,19251
